,tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace_pct,w_df_pct,w_1stIn_pct,w_2ndIn_pct,w_1stWon_pct,w_2ndWon_pct,w_GmsWon,w_GmsLoss,l_ace_pct,l_df_pct,l_1stIn_pct,l_2ndIn_pct,l_1stWon_pct,l_2ndWon_pct,year,winner_age_bucket
166,2000-580,Australian Open,Hard,G,20000117,12,103714,Andreas Vinciguerra,L,180.0,SWE,18.91,102024,Hernan Gumy,R,188.0,ARG,27.87,7-6(2) 6-1 6-1,5,R128,105.0,7.0,4.0,84.0,51.0,41.0,19.0,13.0,3.0,4.0,4.0,5.0,92.0,52.0,32.0,16.0,13.0,5.0,11.0,99.0,405.0,63.0,606.0,0.08,0.05,0.61,0.39,0.49,0.23,18.0,8.0,0.04,0.05,0.57,0.43,0.35,0.17,2000,<20
168,2000-580,Australian Open,Hard,G,20000117,14,102271,Hicham Arazi,L,175.0,MAR,26.25,103031,Julian Alonso,R,185.0,ESP,22.46,6-3 7-6(6) 6-2,5,R128,116.0,4.0,3.0,86.0,44.0,35.0,24.0,14.0,3.0,5.0,12.0,4.0,113.0,66.0,45.0,16.0,15.0,9.0,15.0,41.0,800.0,111.0,354.0,0.05,0.03,0.51,0.49,0.41,0.28,18.0,11.0,0.11,0.04,0.58,0.42,0.4,0.14,2000,25-29
171,2000-580,Australian Open,Hard,G,20000117,17,101948,Pete Sampras,R,185.0,USA,28.43,101885,Wayne Arthurs,L,190.0,AUS,28.84,6-4 7-5 6-4,5,R128,99.0,10.0,3.0,78.0,50.0,46.0,19.0,16.0,2.0,2.0,15.0,8.0,89.0,46.0,38.0,21.0,16.0,3.0,6.0,3.0,2419.0,105.0,366.0,0.13,0.04,0.64,0.36,0.59,0.24,19.0,13.0,0.17,0.09,0.52,0.48,0.43,0.24,2000,25-29
175,2000-580,Australian Open,Hard,G,20000117,21,102644,Franco Squillari,L,183.0,ARG,24.41,102512,Joseph Sirianni,R,175.0,AUS,25.0,6-3 6-2 6-1,5,R128,92.0,5.0,8.0,73.0,31.0,26.0,22.0,12.0,4.0,6.0,3.0,6.0,89.0,42.0,20.0,18.0,12.0,6.0,14.0,48.0,723.0,356.0,78.0,0.07,0.11,0.42,0.58,0.36,0.3,18.0,6.0,0.03,0.07,0.47,0.53,0.22,0.2,2000,20-24
176,2000-580,Australian Open,Hard,G,20000117,22,101185,Mark Woodforde,L,188.0,AUS,34.32,102106,Davide Sanguinetti,R,188.0,ITA,27.39,6-3 6-4 7-6(4),5,R128,116.0,3.0,4.0,84.0,50.0,37.0,21.0,16.0,1.0,5.0,9.0,4.0,108.0,56.0,38.0,22.0,15.0,7.0,13.0,126.0,301.0,113.0,353.0,0.04,0.05,0.6,0.4,0.44,0.25,18.0,13.0,0.08,0.04,0.52,0.48,0.35,0.2,2000,30-34
179,2000-580,Australian Open,Hard,G,20000117,25,102450,Tim Henman,R,185.0,GBR,25.36,102259,Jerome Golmard,L,188.0,FRA,26.35,6-7(3) 6-3 7-6(4) 7-6(7),5,R128,211.0,30.0,7.0,162.0,101.0,82.0,33.0,23.0,7.0,7.0,16.0,6.0,157.0,85.0,65.0,42.0,22.0,10.0,11.0,13.0,1507.0,31.0,982.0,0.19,0.04,0.62,0.38,0.51,0.2,24.0,21.0,0.1,0.04,0.54,0.46,0.41,0.27,2000,25-29
193,2000-580,Australian Open,Hard,G,20000117,39,101150,Gianluca Pozzi,L,180.0,ITA,34.58,102720,Tomas Zib,R,178.0,CZE,23.96,6-3 7-6(7) 6-7(5) 6-1,5,R128,176.0,17.0,8.0,139.0,62.0,48.0,42.0,20.0,11.0,15.0,2.0,7.0,130.0,72.0,48.0,24.0,20.0,11.0,19.0,82.0,465.0,118.0,334.0,0.12,0.06,0.45,0.55,0.35,0.3,24.0,16.0,0.02,0.05,0.55,0.45,0.37,0.18,2000,30-34
195,2000-580,Australian Open,Hard,G,20000117,41,101964,Goran Ivanisevic,L,193.0,CRO,28.34,101611,Cedric Pioline,R,188.0,FRA,30.59,6-4 2-6 7-5 1-6 9-7,5,R128,180.0,32.0,14.0,165.0,78.0,61.0,46.0,26.0,9.0,13.0,26.0,8.0,148.0,90.0,69.0,36.0,27.0,5.0,8.0,70.0,575.0,15.0,1439.0,0.19,0.08,0.47,0.53,0.37,0.28,25.0,28.0,0.18,0.05,0.61,0.39,0.47,0.24,2000,25-29
196,2000-580,Australian Open,Hard,G,20000117,42,101532,Francisco Clavet,L,183.0,ESP,31.23,103103,Dominik Hrbaty,R,183.0,SVK,22.03,3-6 6-1 6-4 7-6(3),5,R128,134.0,5.0,4.0,121.0,82.0,61.0,21.0,19.0,2.0,3.0,12.0,9.0,127.0,65.0,51.0,33.0,19.0,4.0,7.0,39.0,840.0,22.0,1193.0,0.04,0.03,0.68,0.32,0.5,0.17,21.0,17.0,0.09,0.07,0.51,0.49,0.4,0.26,2000,30-34
199,2000-580,Australian Open,Hard,G,20000117,45,103566,Michael Llodra,L,190.0,FRA,19.67,103292,Gaston Gaudio,R,175.0,ARG,21.11,6-3 6-3 6-2,5,R128,82.0,14.0,4.0,73.0,47.0,41.0,13.0,13.0,3.0,4.0,2.0,6.0,91.0,49.0,29.0,17.0,13.0,6.0,12.0,263.0,122.0,61.0,627.0,0.19,0.05,0.64,0.36,0.56,0.18,18.0,8.0,0.02,0.07,0.54,0.46,0.32,0.19,2000,<20
