,tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace_pct,w_df_pct,w_1stIn_pct,w_2ndIn_pct,w_1stWon_pct,w_2ndWon_pct,w_GmsWon,w_GmsLoss,l_ace_pct,l_df_pct,l_1stIn_pct,l_2ndIn_pct,l_1stWon_pct,l_2ndWon_pct,year,winner_age_bucket
1277,2018-M021,Madrid Masters,Clay,M,20180507,271,104919,Leonardo Mayer,R,188.0,ARG,30.98,104269,Fernando Verdasco,L,188.0,ESP,34.48,6-2 6-1,3,R32,70.0,3.0,2.0,47.0,29.0,20.0,15.0,8.0,3.0,3.0,3.0,2.0,51.0,40.0,22.0,5.0,7.0,6.0,10.0,45.0,1086.0,37.0,1280.0,0.06,0.04,0.62,0.38,0.43,0.32,12.0,3.0,0.06,0.04,0.78,0.22,0.43,0.1,2018,30-34
1278,2018-M021,Madrid Masters,Clay,M,20180507,272,104655,Pablo Cuevas,R,180.0,URU,32.34,105077,Albert Ramos,L,188.0,ESP,30.3,6-1 6-7(2) 6-2,3,R32,119.0,15.0,0.0,67.0,46.0,41.0,17.0,14.0,0.0,0.0,4.0,1.0,85.0,56.0,34.0,18.0,13.0,6.0,10.0,47.0,1060.0,42.0,1145.0,0.22,0.0,0.69,0.31,0.61,0.25,18.0,9.0,0.05,0.01,0.66,0.34,0.4,0.21,2018,30-34
1288,2018-M021,Madrid Masters,Clay,M,20180507,282,106233,Dominic Thiem,R,185.0,AUT,24.67,105643,Federico Delbonis,L,190.0,ARG,27.59,4-6 6-3 7-5,3,R32,143.0,6.0,2.0,100.0,69.0,56.0,12.0,16.0,3.0,5.0,0.0,4.0,100.0,59.0,41.0,22.0,15.0,7.0,10.0,7.0,3545.0,78.0,730.0,0.06,0.02,0.69,0.31,0.56,0.12,17.0,14.0,0.0,0.04,0.59,0.41,0.41,0.22,2018,20-24
1290,2018-M021,Madrid Masters,Clay,M,20180507,284,106043,Diego Sebastian Schwartzman,R,170.0,ARG,25.72,103852,Feliciano Lopez,L,188.0,ESP,36.63,7-5 2-6 6-2,3,R32,140.0,5.0,3.0,100.0,64.0,41.0,17.0,14.0,9.0,13.0,10.0,4.0,106.0,53.0,33.0,25.0,14.0,6.0,11.0,16.0,2085.0,30.0,1420.0,0.05,0.03,0.64,0.36,0.41,0.17,15.0,13.0,0.09,0.04,0.5,0.5,0.31,0.24,2018,25-29
1291,2018-M021,Madrid Masters,Clay,M,20180507,285,104745,Rafael Nadal,L,185.0,ESP,31.93,104792,Gael Monfils,R,193.0,FRA,31.68,6-3 6-1,3,R32,73.0,1.0,0.0,45.0,30.0,26.0,9.0,8.0,3.0,3.0,3.0,2.0,49.0,32.0,20.0,7.0,8.0,6.0,10.0,1.0,8770.0,41.0,1175.0,0.02,0.0,0.67,0.33,0.58,0.2,12.0,4.0,0.06,0.04,0.65,0.35,0.41,0.14,2018,30-34
1299,2018-M021,Madrid Masters,Clay,M,20180507,293,104745,Rafael Nadal,L,185.0,ESP,31.93,106043,Diego Sebastian Schwartzman,R,170.0,ARG,25.72,6-3 6-4,3,R16,104.0,1.0,1.0,63.0,44.0,29.0,14.0,10.0,3.0,4.0,1.0,3.0,62.0,34.0,20.0,16.0,9.0,4.0,7.0,1.0,8770.0,16.0,2085.0,0.02,0.02,0.7,0.3,0.46,0.22,12.0,7.0,0.02,0.05,0.55,0.45,0.32,0.26,2018,30-34
1303,2018-M021,Madrid Masters,Clay,M,20180507,297,106233,Dominic Thiem,R,185.0,AUT,24.67,104745,Rafael Nadal,L,185.0,ESP,31.93,7-5 6-3,3,QF,116.0,2.0,5.0,60.0,39.0,29.0,9.0,10.0,3.0,5.0,3.0,2.0,77.0,45.0,29.0,11.0,11.0,7.0,12.0,7.0,3545.0,1.0,8770.0,0.03,0.08,0.65,0.35,0.48,0.15,13.0,8.0,0.04,0.03,0.58,0.42,0.38,0.14,2018,20-24
1318,2018-M009,Rome Masters,Clay,M,20180514,252,105379,Aljaz Bedene,R,181.0,SLO,28.82,104180,Gilles Muller,L,193.0,LUX,35.01,6-4 6-4,3,R64,88.0,7.0,2.0,67.0,30.0,27.0,16.0,10.0,8.0,9.0,5.0,2.0,52.0,31.0,21.0,12.0,10.0,3.0,6.0,65.0,830.0,35.0,1290.0,0.1,0.03,0.45,0.55,0.4,0.24,12.0,8.0,0.1,0.04,0.6,0.4,0.4,0.23,2018,25-29
1324,2018-M009,Rome Masters,Clay,M,20180514,260,105453,Kei Nishikori,R,178.0,JPN,28.37,103852,Feliciano Lopez,L,188.0,ESP,36.65,7-6(5) 6-4,3,R64,108.0,1.0,1.0,67.0,40.0,31.0,16.0,11.0,2.0,3.0,7.0,3.0,80.0,46.0,32.0,15.0,11.0,3.0,5.0,24.0,1665.0,33.0,1375.0,0.01,0.01,0.6,0.4,0.46,0.24,12.0,10.0,0.09,0.04,0.57,0.42,0.4,0.19,2018,25-29
1330,2018-M009,Rome Masters,Clay,M,20180514,268,106000,Damir Dzumhur,R,172.0,BIH,25.98,104269,Fernando Verdasco,L,188.0,ESP,34.49,6-3 6-1,3,R64,64.0,1.0,2.0,53.0,36.0,24.0,9.0,8.0,5.0,7.0,1.0,1.0,41.0,28.0,11.0,4.0,8.0,0.0,6.0,31.0,1415.0,34.0,1315.0,0.02,0.04,0.68,0.32,0.45,0.17,12.0,4.0,0.02,0.02,0.68,0.32,0.27,0.1,2018,25-29
1339,2018-M009,Rome Masters,Clay,M,20180514,278,105077,Albert Ramos,L,188.0,ESP,30.32,104545,John Isner,R,206.0,USA,33.05,6-7(5) 7-6(2) 7-6(5),3,R32,172.0,4.0,1.0,119.0,85.0,64.0,23.0,18.0,1.0,2.0,30.0,4.0,127.0,82.0,66.0,24.0,18.0,5.0,6.0,41.0,1180.0,9.0,3305.0,0.03,0.01,0.71,0.29,0.54,0.19,18.0,18.0,0.24,0.03,0.65,0.35,0.52,0.19,2018,30-34
1346,2018-M009,Rome Masters,Clay,M,20180514,285,104745,Rafael Nadal,L,185.0,ESP,31.95,106000,Damir Dzumhur,R,172.0,BIH,25.98,6-1 6-0,3,R32,60.0,0.0,1.0,37.0,25.0,19.0,9.0,7.0,0.0,0.0,2.0,1.0,46.0,31.0,17.0,1.0,6.0,3.0,8.0,2.0,7950.0,31.0,1415.0,0.0,0.03,0.68,0.32,0.51,0.24,12.0,1.0,0.04,0.02,0.67,0.33,0.37,0.02,2018,30-34
1351,2018-M009,Rome Masters,Clay,M,20180514,290,104925,Novak Djokovic,R,188.0,SRB,30.98,105077,Albert Ramos,L,188.0,ESP,30.32,6-1 7-5,3,R16,88.0,1.0,1.0,59.0,41.0,30.0,10.0,10.0,2.0,3.0,2.0,0.0,57.0,34.0,18.0,12.0,9.0,1.0,5.0,18.0,1905.0,41.0,1180.0,0.02,0.02,0.69,0.31,0.51,0.17,13.0,6.0,0.04,0.0,0.6,0.4,0.32,0.21,2018,30-34
1358,2018-M009,Rome Masters,Clay,M,20180514,297,104745,Rafael Nadal,L,185.0,ESP,31.95,104926,Fabio Fognini,R,178.0,ITA,30.97,4-6 6-1 6-2,3,QF,134.0,3.0,1.0,74.0,46.0,35.0,16.0,13.0,3.0,5.0,3.0,0.0,82.0,54.0,33.0,10.0,12.0,2.0,7.0,2.0,7950.0,21.0,1805.0,0.04,0.01,0.62,0.38,0.47,0.22,16.0,9.0,0.04,0.0,0.66,0.34,0.4,0.12,2018,30-34
1360,2018-M009,Rome Masters,Clay,M,20180514,299,104745,Rafael Nadal,L,185.0,ESP,31.95,104925,Novak Djokovic,R,188.0,SRB,30.98,7-6(4) 6-3,3,SF,116.0,1.0,2.0,65.0,39.0,25.0,18.0,10.0,2.0,3.0,4.0,0.0,63.0,45.0,27.0,11.0,11.0,2.0,5.0,2.0,7950.0,18.0,1905.0,0.02,0.03,0.6,0.4,0.38,0.28,12.0,9.0,0.06,0.0,0.71,0.29,0.43,0.17,2018,30-34
1361,2018-M009,Rome Masters,Clay,M,20180514,300,104745,Rafael Nadal,L,185.0,ESP,31.95,100644,Alexander Zverev,R,198.0,GER,21.07,6-1 1-6 6-3,3,F,129.0,0.0,1.0,72.0,47.0,27.0,17.0,12.0,7.0,11.0,2.0,1.0,65.0,41.0,23.0,11.0,11.0,1.0,6.0,2.0,7950.0,3.0,6015.0,0.0,0.01,0.65,0.35,0.38,0.24,13.0,10.0,0.03,0.02,0.63,0.37,0.35,0.17,2018,30-34
1381,2018-0322,Geneva,Clay,A,20180521,293,105550,Guido Pella,L,185.0,ARG,28.01,105023,Sam Querrey,R,198.0,USA,30.62,7-5 6-7(6) 7-6(4),3,R16,153.0,7.0,3.0,114.0,67.0,54.0,31.0,18.0,3.0,4.0,15.0,4.0,114.0,68.0,55.0,24.0,18.0,4.0,6.0,81.0,700.0,13.0,2140.0,0.06,0.03,0.59,0.41,0.47,0.27,19.0,17.0,0.13,0.04,0.6,0.4,0.48,0.21,2018,25-29
1385,2018-0322,Geneva,Clay,A,20180521,297,105449,Steve Johnson,R,188.0,USA,28.41,105550,Guido Pella,L,185.0,ARG,28.01,6-3 6-4,3,QF,76.0,6.0,0.0,60.0,42.0,34.0,9.0,10.0,2.0,2.0,9.0,2.0,53.0,29.0,21.0,14.0,9.0,3.0,5.0,47.0,1065.0,81.0,700.0,0.1,0.0,0.7,0.3,0.57,0.15,12.0,7.0,0.17,0.04,0.55,0.45,0.4,0.26,2018,25-29
1396,2018-7694,Lyon,Clay,A,20180521,279,105583,Dusan Lajovic,R,180.0,SRB,27.89,104547,Horacio Zeballos,L,188.0,ARG,33.07,6-4 6-2,3,R32,63.0,5.0,1.0,47.0,27.0,24.0,13.0,9.0,1.0,1.0,1.0,3.0,61.0,41.0,28.0,8.0,9.0,5.0,8.0,68.0,824.0,101.0,610.0,0.11,0.02,0.57,0.43,0.51,0.28,12.0,6.0,0.02,0.05,0.67,0.33,0.46,0.13,2018,25-29
1398,2018-7694,Lyon,Clay,A,20180521,282,104198,Guillermo Garcia Lopez,R,188.0,ESP,34.96,105173,Adrian Mannarino,L,183.0,FRA,29.89,6-3 4-6 6-1,3,R32,111.0,0.0,6.0,73.0,48.0,36.0,12.0,13.0,3.0,6.0,4.0,7.0,103.0,64.0,38.0,14.0,13.0,12.0,18.0,71.0,820.0,27.0,1535.0,0.0,0.08,0.66,0.34,0.49,0.16,16.0,10.0,0.04,0.07,0.62,0.38,0.37,0.14,2018,30-34
1416,2018-520,Roland Garros,Clay,G,20180528,100,104745,Rafael Nadal,L,185.0,ESP,31.98,104620,Simone Bolelli,R,183.0,ITA,32.64,6-4 6-3 7-6(9),5,R128,177.0,2.0,3.0,109.0,63.0,47.0,27.0,16.0,5.0,7.0,2.0,1.0,107.0,82.0,46.0,16.0,15.0,6.0,10.0,1.0,8770.0,129.0,430.0,0.02,0.03,0.58,0.42,0.43,0.25,18.0,13.0,0.02,0.01,0.77,0.23,0.43,0.15,2018,30-34
1417,2018-520,Roland Garros,Clay,G,20180528,101,105550,Guido Pella,L,185.0,ARG,28.03,105311,Joao Sousa,R,185.0,POR,29.16,6-2 6-3 6-4,5,R128,110.0,10.0,0.0,76.0,52.0,42.0,16.0,14.0,3.0,3.0,2.0,5.0,90.0,62.0,37.0,15.0,13.0,4.0,8.0,78.0,728.0,49.0,1051.0,0.13,0.0,0.68,0.32,0.55,0.21,18.0,9.0,0.02,0.06,0.69,0.31,0.41,0.17,2018,25-29
1428,2018-520,Roland Garros,Clay,G,20180528,112,104660,Sergiy Stakhovsky,R,193.0,UKR,32.39,103852,Feliciano Lopez,L,188.0,ESP,36.68,6-2 6-4 6-2,5,R128,114.0,5.0,2.0,83.0,50.0,36.0,16.0,13.0,8.0,11.0,7.0,7.0,95.0,47.0,28.0,16.0,13.0,7.0,15.0,127.0,433.0,33.0,1375.0,0.06,0.02,0.6,0.4,0.43,0.19,18.0,8.0,0.07,0.07,0.49,0.51,0.29,0.17,2018,30-34
1429,2018-520,Roland Garros,Clay,G,20180528,113,104999,Mischa Zverev,L,190.0,GER,30.77,104252,Florian Mayer,R,190.0,GER,34.64,6-2 6-1 7-6(3),5,R128,111.0,8.0,2.0,96.0,59.0,50.0,19.0,14.0,9.0,9.0,4.0,2.0,73.0,46.0,31.0,14.0,13.0,2.0,6.0,64.0,870.0,90.0,671.0,0.08,0.02,0.61,0.39,0.52,0.2,18.0,9.0,0.05,0.03,0.63,0.37,0.42,0.19,2018,30-34
1435,2018-520,Roland Garros,Clay,G,20180528,119,105449,Steve Johnson,R,188.0,USA,28.42,105173,Adrian Mannarino,L,183.0,FRA,29.91,7-6(1) 6-2 6-2,5,R128,123.0,6.0,6.0,95.0,47.0,39.0,31.0,14.0,9.0,9.0,3.0,5.0,86.0,52.0,39.0,14.0,14.0,3.0,7.0,46.0,1110.0,26.0,1535.0,0.06,0.06,0.49,0.51,0.41,0.33,18.0,10.0,0.03,0.06,0.6,0.4,0.45,0.16,2018,25-29
1441,2018-520,Roland Garros,Clay,G,20180528,125,104547,Horacio Zeballos,L,188.0,ARG,33.08,105216,Yuichi Sugita,R,173.0,JPN,29.69,6-4 6-7(3) 6-4 6-2,5,R128,179.0,14.0,4.0,141.0,84.0,69.0,27.0,20.0,6.0,7.0,10.0,3.0,131.0,75.0,53.0,29.0,20.0,6.0,11.0,103.0,590.0,48.0,1070.0,0.1,0.03,0.6,0.4,0.49,0.19,24.0,16.0,0.08,0.02,0.57,0.43,0.4,0.22,2018,30-34
1444,2018-520,Roland Garros,Clay,G,20180528,128,105077,Albert Ramos,L,188.0,ESP,30.36,105062,Mikhail Kukushkin,R,183.0,KAZ,30.42,7-6(0) 6-4 6-1,5,R128,127.0,3.0,2.0,76.0,45.0,34.0,19.0,15.0,2.0,4.0,3.0,2.0,104.0,55.0,33.0,23.0,14.0,12.0,18.0,36.0,1260.0,83.0,694.0,0.04,0.03,0.59,0.41,0.45,0.25,19.0,10.0,0.03,0.02,0.53,0.47,0.32,0.22,2018,30-34
1467,2018-520,Roland Garros,Clay,G,20180528,151,105208,Ernests Gulbis,R,190.0,LAT,29.74,104180,Gilles Muller,L,193.0,LUX,35.05,2-6 6-4 6-4 6-3,5,R128,172.0,9.0,7.0,116.0,66.0,47.0,30.0,19.0,13.0,16.0,10.0,7.0,116.0,61.0,45.0,25.0,18.0,4.0,9.0,160.0,342.0,34.0,1300.0,0.08,0.06,0.57,0.43,0.41,0.26,21.0,16.0,0.09,0.06,0.53,0.47,0.39,0.22,2018,25-29
1486,2018-520,Roland Garros,Clay,G,20180528,170,104999,Mischa Zverev,L,190.0,GER,30.77,104660,Sergiy Stakhovsky,R,193.0,UKR,32.39,6-3 6-7(0) 7-6(2) 6-1,5,R64,192.0,8.0,3.0,128.0,62.0,52.0,39.0,20.0,4.0,5.0,10.0,7.0,140.0,76.0,57.0,29.0,20.0,12.0,17.0,64.0,870.0,127.0,433.0,0.06,0.02,0.48,0.52,0.41,0.3,24.0,16.0,0.07,0.05,0.54,0.46,0.41,0.21,2018,30-34
1492,2018-520,Roland Garros,Clay,G,20180528,176,104545,John Isner,R,206.0,USA,33.09,104547,Horacio Zeballos,L,188.0,ARG,33.08,6-7(8) 7-6(4) 7-6(2) 6-2,5,R64,169.0,38.0,4.0,125.0,85.0,76.0,29.0,22.0,0.0,0.0,16.0,4.0,134.0,89.0,74.0,28.0,22.0,5.0,7.0,10.0,2980.0,103.0,590.0,0.3,0.03,0.68,0.32,0.61,0.23,24.0,20.0,0.12,0.03,0.66,0.34,0.55,0.21,2018,30-34
1497,2018-520,Roland Garros,Clay,G,20180528,181,104792,Gael Monfils,R,193.0,FRA,31.74,105373,Martin Klizan,L,190.0,SVK,28.88,6-2 6-4 6-4,5,R64,115.0,5.0,3.0,87.0,56.0,39.0,18.0,14.0,4.0,6.0,3.0,3.0,85.0,51.0,30.0,16.0,14.0,4.0,10.0,37.0,1220.0,117.0,463.0,0.06,0.03,0.64,0.36,0.45,0.21,18.0,10.0,0.04,0.04,0.6,0.4,0.35,0.19,2018,30-34
1499,2018-520,Roland Garros,Clay,G,20180528,183,105807,Pablo Carreno Busta,R,188.0,ESP,26.88,105643,Federico Delbonis,L,190.0,ARG,27.64,7-6(0) 7-6(2) 3-6 6-4,5,R64,197.0,6.0,2.0,151.0,107.0,81.0,23.0,22.0,19.0,21.0,9.0,8.0,155.0,92.0,67.0,32.0,21.0,14.0,16.0,11.0,2415.0,69.0,835.0,0.04,0.01,0.71,0.29,0.54,0.15,22.0,21.0,0.06,0.05,0.59,0.41,0.43,0.21,2018,25-29
1512,2018-520,Roland Garros,Clay,G,20180528,196,104745,Rafael Nadal,L,185.0,ESP,31.98,104755,Richard Gasquet,R,185.0,FRA,31.94,6-3 6-2 6-2,5,R32,118.0,3.0,2.0,63.0,39.0,33.0,17.0,13.0,1.0,2.0,8.0,1.0,87.0,48.0,28.0,16.0,12.0,3.0,9.0,1.0,8770.0,32.0,1395.0,0.05,0.03,0.62,0.38,0.52,0.27,18.0,7.0,0.09,0.01,0.55,0.45,0.32,0.18,2018,30-34
1515,2018-520,Roland Garros,Clay,G,20180528,199,104731,Kevin Anderson,R,203.0,RSA,32.03,104999,Mischa Zverev,L,190.0,GER,30.77,6-1 6-7(3) 6-3 7-6(4),5,R32,167.0,18.0,6.0,119.0,78.0,66.0,28.0,20.0,2.0,2.0,4.0,2.0,123.0,73.0,55.0,25.0,20.0,7.0,10.0,7.0,3635.0,64.0,870.0,0.15,0.05,0.66,0.34,0.55,0.24,23.0,17.0,0.03,0.02,0.59,0.41,0.45,0.2,2018,30-34
1519,2018-520,Roland Garros,Clay,G,20180528,203,105223,Juan Martin Del Potro,R,198.0,ARG,29.68,105077,Albert Ramos,L,188.0,ESP,30.36,7-5 6-4 6-1,5,R32,138.0,8.0,1.0,89.0,60.0,46.0,14.0,15.0,3.0,5.0,8.0,4.0,85.0,51.0,36.0,11.0,14.0,5.0,11.0,6.0,4450.0,36.0,1260.0,0.09,0.01,0.67,0.33,0.52,0.16,19.0,10.0,0.09,0.05,0.6,0.4,0.42,0.13,2018,25-29
1523,2018-520,Roland Garros,Clay,G,20180528,207,104269,Fernando Verdasco,L,188.0,ESP,34.53,105777,Grigor Dimitrov,R,188.0,BUL,27.03,7-6(4) 6-2 6-4,5,R32,141.0,2.0,3.0,107.0,75.0,52.0,14.0,15.0,7.0,10.0,7.0,5.0,99.0,69.0,44.0,12.0,15.0,4.0,10.0,35.0,1280.0,5.0,4870.0,0.02,0.03,0.7,0.3,0.49,0.13,18.0,12.0,0.07,0.05,0.7,0.3,0.44,0.12,2018,30-34
1533,2018-520,Roland Garros,Clay,G,20180528,217,104925,Novak Djokovic,R,188.0,SRB,31.02,104269,Fernando Verdasco,L,188.0,ESP,34.53,6-3 6-4 6-2,5,R16,145.0,3.0,0.0,96.0,70.0,44.0,18.0,14.0,4.0,5.0,3.0,2.0,99.0,66.0,37.0,18.0,13.0,5.0,10.0,22.0,1665.0,35.0,1280.0,0.03,0.0,0.73,0.27,0.46,0.19,18.0,9.0,0.03,0.02,0.67,0.33,0.37,0.18,2018,30-34
1536,2018-520,Roland Garros,Clay,G,20180528,220,104745,Rafael Nadal,L,185.0,ESP,31.98,106043,Diego Sebastian Schwartzman,R,170.0,ARG,25.78,4-6 6-3 6-2 6-2,5,QF,222.0,1.0,3.0,129.0,74.0,45.0,30.0,18.0,15.0,20.0,1.0,3.0,118.0,69.0,38.0,18.0,17.0,9.0,18.0,1.0,8770.0,12.0,2165.0,0.01,0.02,0.57,0.43,0.35,0.23,22.0,13.0,0.01,0.03,0.58,0.42,0.32,0.15,2018,30-34
1540,2018-520,Roland Garros,Clay,G,20180528,224,104745,Rafael Nadal,L,185.0,ESP,31.98,105223,Juan Martin Del Potro,R,198.0,ARG,29.68,6-4 6-1 6-2,5,SF,134.0,0.0,3.0,83.0,51.0,37.0,21.0,13.0,7.0,7.0,2.0,1.0,65.0,49.0,28.0,8.0,12.0,4.0,9.0,1.0,8770.0,6.0,4450.0,0.0,0.04,0.61,0.39,0.45,0.25,18.0,7.0,0.03,0.02,0.75,0.25,0.43,0.12,2018,30-34
1542,2018-520,Roland Garros,Clay,G,20180528,226,104745,Rafael Nadal,L,185.0,ESP,31.98,106233,Dominic Thiem,R,185.0,AUT,24.73,6-4 6-3 6-2,5,F,162.0,0.0,3.0,82.0,56.0,46.0,12.0,14.0,2.0,3.0,7.0,5.0,102.0,59.0,40.0,15.0,13.0,12.0,17.0,1.0,8770.0,8.0,3355.0,0.0,0.04,0.68,0.32,0.56,0.15,18.0,9.0,0.07,0.05,0.58,0.42,0.39,0.15,2018,30-34
1560,2018-M010,S-Hertogenbosch,Grass,A,20180611,291,105051,Matthew Ebden,R,188.0,AUS,30.54,104180,Gilles Muller,L,193.0,LUX,35.09,6-3 7-5,3,R16,84.0,6.0,2.0,68.0,44.0,35.0,12.0,11.0,4.0,5.0,12.0,2.0,72.0,48.0,38.0,5.0,10.0,7.0,10.0,69.0,833.0,32.0,1300.0,0.09,0.03,0.65,0.35,0.51,0.18,13.0,8.0,0.17,0.03,0.67,0.33,0.53,0.07,2018,30-34
1562,2018-M010,S-Hertogenbosch,Grass,A,20180611,293,104871,Jeremy Chardy,R,188.0,FRA,31.33,105173,Adrian Mannarino,L,183.0,FRA,29.95,6-4 6-4,3,R16,74.0,10.0,1.0,49.0,33.0,30.0,10.0,10.0,0.0,0.0,3.0,4.0,65.0,43.0,33.0,7.0,10.0,4.0,6.0,72.0,780.0,25.0,1535.0,0.2,0.02,0.67,0.33,0.61,0.2,12.0,8.0,0.05,0.06,0.66,0.34,0.51,0.11,2018,30-34
1564,2018-M010,S-Hertogenbosch,Grass,A,20180611,295,106071,Bernard Tomic,R,193.0,AUS,25.64,104269,Fernando Verdasco,L,188.0,ESP,34.57,6-4 7-6(3),3,QF,74.0,4.0,0.0,68.0,58.0,44.0,6.0,11.0,0.0,1.0,17.0,5.0,69.0,35.0,25.0,20.0,11.0,6.0,8.0,181.0,316.0,34.0,1280.0,0.06,0.0,0.85,0.15,0.65,0.09,12.0,10.0,0.25,0.07,0.51,0.49,0.36,0.29,2018,25-29
1580,2018-0321,Stuttgart,Grass,A,20180611,283,105550,Guido Pella,L,185.0,ARG,28.07,105357,John Millman,R,183.0,AUS,28.99,6-2 6-2,3,R32,64.0,4.0,2.0,44.0,30.0,23.0,8.0,8.0,1.0,2.0,2.0,3.0,52.0,25.0,18.0,7.0,8.0,8.0,13.0,75.0,745.0,64.0,901.0,0.09,0.05,0.68,0.32,0.52,0.18,12.0,4.0,0.04,0.06,0.48,0.52,0.35,0.13,2018,25-29
1581,2018-0321,Stuttgart,Grass,A,20180611,284,104999,Mischa Zverev,L,190.0,GER,30.8,104022,Mikhail Youzhny,R,183.0,RUS,35.96,7-6(5) 6-3,3,R32,90.0,9.0,0.0,62.0,34.0,31.0,18.0,11.0,1.0,1.0,2.0,0.0,75.0,52.0,35.0,12.0,10.0,5.0,6.0,54.0,950.0,93.0,616.0,0.15,0.0,0.55,0.45,0.5,0.29,12.0,9.0,0.03,0.0,0.69,0.31,0.47,0.16,2018,30-34
1586,2018-0321,Stuttgart,Grass,A,20180611,290,103852,Feliciano Lopez,L,188.0,ESP,36.72,104468,Gilles Simon,R,183.0,FRA,33.45,7-6(6) 6-4,3,R16,95.0,16.0,4.0,73.0,53.0,41.0,10.0,11.0,3.0,4.0,8.0,1.0,73.0,39.0,27.0,22.0,11.0,2.0,4.0,33.0,1295.0,55.0,950.0,0.22,0.05,0.73,0.27,0.56,0.14,12.0,10.0,0.11,0.01,0.53,0.47,0.37,0.3,2018,35-39
1589,2018-0321,Stuttgart,Grass,A,20180611,293,103819,Roger Federer,R,185.0,SUI,36.84,104999,Mischa Zverev,L,190.0,GER,30.8,3-6 6-4 6-2,3,R16,93.0,5.0,1.0,71.0,48.0,36.0,13.0,13.0,3.0,5.0,7.0,2.0,88.0,52.0,34.0,19.0,14.0,6.0,10.0,2.0,8670.0,54.0,950.0,0.07,0.01,0.68,0.32,0.51,0.18,15.0,12.0,0.08,0.02,0.59,0.41,0.39,0.22,2018,35-39
1592,2018-0321,Stuttgart,Grass,A,20180611,296,106401,Nick Kyrgios,R,193.0,AUS,23.12,103852,Feliciano Lopez,L,188.0,ESP,36.72,6-4 3-6 6-3,3,QF,82.0,20.0,5.0,73.0,49.0,42.0,14.0,14.0,0.0,1.0,13.0,5.0,71.0,46.0,38.0,14.0,14.0,0.0,2.0,24.0,1585.0,33.0,1295.0,0.27,0.07,0.67,0.33,0.58,0.19,15.0,13.0,0.18,0.07,0.65,0.35,0.54,0.2,2018,20-24
1593,2018-0321,Stuttgart,Grass,A,20180611,297,103819,Roger Federer,R,185.0,SUI,36.84,105550,Guido Pella,L,185.0,ARG,28.07,6-4 6-4,3,QF,65.0,4.0,0.0,56.0,35.0,29.0,15.0,10.0,2.0,2.0,6.0,1.0,57.0,37.0,24.0,14.0,10.0,4.0,6.0,2.0,8670.0,75.0,745.0,0.07,0.0,0.62,0.38,0.52,0.27,12.0,8.0,0.11,0.02,0.65,0.35,0.42,0.25,2018,35-39
1630,2018-0311,London,Grass,A,20180618,272,105173,Adrian Mannarino,L,183.0,FRA,29.97,105554,Daniel Evans,R,175.0,GBR,28.07,6-4 0-6 7-5,3,R32,121.0,11.0,5.0,85.0,53.0,33.0,17.0,14.0,2.0,6.0,2.0,2.0,89.0,49.0,36.0,19.0,14.0,6.0,9.0,26.0,1535.0,340.0,138.0,0.13,0.06,0.62,0.38,0.39,0.2,13.0,15.0,0.02,0.02,0.55,0.45,0.4,0.21,2018,25-29
1639,2018-0311,London,Grass,A,20180618,281,103852,Feliciano Lopez,L,188.0,ESP,36.74,105676,David Goffin,R,163.0,BEL,27.53,6-3 6-7(7) 6-3,3,R32,109.0,11.0,3.0,86.0,50.0,44.0,23.0,16.0,1.0,2.0,2.0,5.0,87.0,46.0,32.0,24.0,14.0,0.0,3.0,37.0,1190.0,9.0,3110.0,0.13,0.03,0.58,0.42,0.51,0.27,18.0,12.0,0.02,0.06,0.53,0.47,0.37,0.28,2018,35-39
1643,2018-0311,London,Grass,A,20180618,285,105227,Marin Cilic,R,198.0,CRO,29.72,104269,Fernando Verdasco,L,188.0,ESP,34.59,6-3 6-4,3,R32,66.0,7.0,1.0,44.0,29.0,28.0,12.0,10.0,0.0,0.0,4.0,2.0,59.0,32.0,24.0,12.0,9.0,3.0,5.0,6.0,4860.0,33.0,1305.0,0.16,0.02,0.66,0.34,0.64,0.27,12.0,7.0,0.07,0.03,0.54,0.46,0.41,0.2,2018,25-29
1645,2018-0311,London,Grass,A,20180618,287,105173,Adrian Mannarino,L,183.0,FRA,29.97,103898,Julien Benneteau,R,185.0,FRA,36.49,7-6(4) 6-3,3,R16,110.0,1.0,4.0,86.0,51.0,37.0,17.0,10.0,9.0,10.0,11.0,3.0,74.0,48.0,33.0,10.0,11.0,3.0,6.0,26.0,1535.0,66.0,876.0,0.01,0.05,0.59,0.41,0.43,0.2,12.0,9.0,0.15,0.04,0.65,0.35,0.45,0.14,2018,25-29
